N1 M 8 9 1.40701e-07 3.06795e-08 5.01259e-09 1.65691e-09 7.48692e-10 4.02451e-10 2.38779e-10 1.51576e-10 1.01049e-10 3.27649e-08 2.24875e-08 9.30243e-09 4.00047e-09 1.99174e-09 1.11658e-09 6.78172e-10 4.36703e-10 2.93845e-10 1.41468e-08 1.19392e-08 7.6666e-09 4.39574e-09 2.5669e-09 1.565e-09 9.99385e-10 6.64361e-10 4.56594e-10 7.90481e-09 7.11799e-09 5.53124e-09 3.85029e-09 2.5756e-09 1.72273e-09 1.17089e-09 8.12384e-10 5.75313e-10 5.06557e-09 4.69147e-09 3.99019e-09 3.1108e-09 2.30722e-09 1.67558e-09 1.21218e-09 8.81193e-10 6.46165e-10 3.49254e-09 3.28152e-09 2.93472e-09 2.45548e-09 1.9606e-09 1.52196e-09 1.16446e-09 8.85868e-10 6.73566e-10 2.52804e-09 2.39445e-09 2.2074e-09 1.93346e-09 1.62675e-09 1.33004e-09 1.06707e-09 8.46119e-10 6.66371e-10 1.89367e-09 1.80206e-09 1.69407e-09 1.53021e-09 1.3366e-09 1.13713e-09 9.4853e-10 7.79874e-10 6.34533e-10 M 9 8 1.01498e-07 3.27649e-08 1.41468e-08 7.90481e-09 5.06557e-09 3.49254e-09 2.52804e-09 1.89367e-09 3.06795e-08 2.24875e-08 1.19392e-08 7.11799e-09 4.69147e-09 3.28152e-09 2.39445e-09 1.80206e-09 5.01259e-09 9.30243e-09 7.6666e-09 5.53124e-09 3.99019e-09 2.93472e-09 2.2074e-09 1.69407e-09 1.65691e-09 4.00047e-09 4.39574e-09 3.85029e-09 3.1108e-09 2.45548e-09 1.93346e-09 1.53021e-09 7.48692e-10 1.99174e-09 2.5669e-09 2.5756e-09 2.30722e-09 1.9606e-09 1.62675e-09 1.3366e-09 4.02451e-10 1.11658e-09 1.565e-09 1.72273e-09 1.67558e-09 1.52196e-09 1.33004e-09 1.13713e-09 2.38779e-10 6.78172e-10 9.99385e-10 1.17089e-09 1.21218e-09 1.16446e-09 1.06707e-09 9.4853e-10 1.51576e-10 4.36703e-10 6.64361e-10 8.12384e-10 8.81193e-10 8.85868e-10 8.46119e-10 7.79874e-10 1.01049e-10 2.93845e-10 4.56594e-10 5.75313e-10 6.46165e-10 6.73566e-10 6.66371e-10 6.34533e-10
N2 M 8 9 1.30389e-07 2.56521e-08 4.08246e-09 1.35699e-09 6.21804e-10 3.34244e-10 1.98311e-10 1.25887e-10 8.39233e-11 2.90272e-08 1.83148e-08 7.54828e-09 3.26959e-09 1.65418e-09 9.27343e-10 5.63236e-10 3.62691e-10 2.44044e-10 1.2524e-08 9.77802e-09 6.26593e-09 3.64683e-09 2.13186e-09 1.29976e-09 8.3001e-10 5.51766e-10 3.79211e-10 7.03058e-09 5.91164e-09 4.59381e-09 3.19775e-09 2.13909e-09 1.43076e-09 9.72448e-10 6.74702e-10 4.77809e-10 4.52003e-09 3.89637e-09 3.31393e-09 2.58358e-09 1.91619e-09 1.39161e-09 1.00674e-09 7.31849e-10 5.36653e-10 3.1263e-09 2.72537e-09 2.43735e-09 2.03933e-09 1.62832e-09 1.26402e-09 9.67108e-10 7.35732e-10 5.59411e-10 2.26993e-09 1.98864e-09 1.83329e-09 1.60578e-09 1.35105e-09 1.10462e-09 8.86222e-10 7.02719e-10 5.53435e-10 1.70543e-09 1.49665e-09 1.40696e-09 1.27087e-09 1.11007e-09 9.44414e-10 7.87774e-10 6.47701e-10 5.26993e-10 M 9 8 8.71876e-08 2.90272e-08 1.2524e-08 7.03058e-09 4.52003e-09 3.1263e-09 2.26993e-09 1.70543e-09 2.56521e-08 1.83148e-08 9.77802e-09 5.91164e-09 3.89637e-09 2.72537e-09 1.98864e-09 1.49665e-09 4.08246e-09 7.54828e-09 6.26593e-09 4.59381e-09 3.31393e-09 2.43735e-09 1.83329e-09 1.40696e-09 1.35699e-09 3.26959e-09 3.64683e-09 3.19775e-09 2.58358e-09 2.03933e-09 1.60578e-09 1.27087e-09 6.21804e-10 1.65418e-09 2.13186e-09 2.13909e-09 1.91619e-09 1.62832e-09 1.35105e-09 1.11007e-09 3.34244e-10 9.27343e-10 1.29976e-09 1.43076e-09 1.39161e-09 1.26402e-09 1.10462e-09 9.44414e-10 1.98311e-10 5.63236e-10 8.3001e-10 9.72448e-10 1.00674e-09 9.67108e-10 8.86222e-10 7.87774e-10 1.25887e-10 3.62691e-10 5.51766e-10 6.74702e-10 7.31849e-10 7.35732e-10 7.02719e-10 6.47701e-10 8.39233e-11 2.44044e-10 3.79211e-10 4.77809e-10 5.36653e-10 5.59411e-10 5.53435e-10 5.26993e-10
N3 M 8 9 1.2764e-07 2.41431e-08 3.78652e-09 1.23045e-09 5.5783e-10 2.99856e-10 1.77907e-10 1.12936e-10 7.52889e-11 2.83108e-08 1.69871e-08 7.00125e-09 2.98532e-09 1.48399e-09 8.31933e-10 5.05288e-10 3.25376e-10 2.18936e-10 1.22532e-08 8.86627e-09 5.72115e-09 3.27055e-09 1.91253e-09 1.16604e-09 7.44615e-10 4.94998e-10 3.40196e-10 6.98689e-09 5.30342e-09 4.12118e-09 2.86875e-09 1.91901e-09 1.28356e-09 8.72399e-10 6.05285e-10 4.2865e-10 4.51197e-09 3.49549e-09 2.97298e-09 2.31777e-09 1.71905e-09 1.24843e-09 9.03161e-10 6.56553e-10 4.8144e-10 3.13417e-09 2.44497e-09 2.18658e-09 1.82951e-09 1.46079e-09 1.13397e-09 8.67608e-10 6.60036e-10 5.01856e-10 2.2851e-09 1.78404e-09 1.64468e-09 1.44057e-09 1.21205e-09 9.90974e-10 7.95044e-10 6.30421e-10 4.96495e-10 1.72372e-09 1.34267e-09 1.26221e-09 1.14012e-09 9.95862e-10 8.47249e-10 7.06724e-10 5.81063e-10 4.72774e-10 M 9 8 8.35765e-08 2.83108e-08 1.22532e-08 6.98689e-09 4.51197e-09 3.13417e-09 2.2851e-09 1.72372e-09 2.41431e-08 1.69871e-08 8.86627e-09 5.30342e-09 3.49549e-09 2.44497e-09 1.78404e-09 1.34267e-09 3.78652e-09 7.00125e-09 5.72115e-09 4.12118e-09 2.97298e-09 2.18658e-09 1.64468e-09 1.26221e-09 1.23045e-09 2.98532e-09 3.27055e-09 2.86875e-09 2.31777e-09 1.82951e-09 1.44057e-09 1.14012e-09 5.5783e-10 1.48399e-09 1.91253e-09 1.91901e-09 1.71905e-09 1.46079e-09 1.21205e-09 9.95862e-10 2.99856e-10 8.31933e-10 1.16604e-09 1.28356e-09 1.24843e-09 1.13397e-09 9.90974e-10 8.47249e-10 1.77907e-10 5.05288e-10 7.44615e-10 8.72399e-10 9.03161e-10 8.67608e-10 7.95044e-10 7.06724e-10 1.12936e-10 3.25376e-10 4.94998e-10 6.05285e-10 6.56553e-10 6.60036e-10 6.30421e-10 5.81063e-10 7.52889e-11 2.18936e-10 3.40196e-10 4.2865e-10 4.8144e-10 5.01856e-10 4.96495e-10 4.72774e-10
N4 M 8 9 1.40173e-07 2.34823e-08 3.72103e-09 1.23189e-09 5.6532e-10 3.03882e-10 1.80296e-10 1.14452e-10 7.62998e-11 3.14369e-08 1.66933e-08 6.92029e-09 2.97636e-09 1.50392e-09 8.43104e-10 5.12072e-10 3.29745e-10 2.21876e-10 1.41666e-08 8.87662e-09 5.70397e-09 3.28333e-09 1.93821e-09 1.18169e-09 7.54613e-10 5.01645e-10 3.44764e-10 8.27216e-09 5.37463e-09 4.17652e-09 2.90727e-09 1.94478e-09 1.3008e-09 8.84113e-10 6.13413e-10 4.34406e-10 5.37366e-09 3.54243e-09 3.0129e-09 2.3489e-09 1.74213e-09 1.2652e-09 9.15289e-10 6.65369e-10 4.87905e-10 3.75392e-09 2.4778e-09 2.21595e-09 1.85408e-09 1.48041e-09 1.14919e-09 8.79258e-10 6.68899e-10 5.08595e-10 2.75179e-09 1.80799e-09 1.66676e-09 1.45991e-09 1.22833e-09 1.00428e-09 8.05719e-10 6.38886e-10 5.03162e-10 2.08652e-09 1.3607e-09 1.27915e-09 1.15543e-09 1.00923e-09 8.58625e-10 7.16214e-10 5.88865e-10 4.79122e-10 M 9 8 8.22652e-08 3.14369e-08 1.41666e-08 8.27216e-09 5.37366e-09 3.75392e-09 2.75179e-09 2.08652e-09 2.34823e-08 1.66933e-08 8.87662e-09 5.37463e-09 3.54243e-09 2.4778e-09 1.80799e-09 1.3607e-09 3.72103e-09 6.92029e-09 5.70397e-09 4.17652e-09 3.0129e-09 2.21595e-09 1.66676e-09 1.27915e-09 1.23189e-09 2.97636e-09 3.28333e-09 2.90727e-09 2.3489e-09 1.85408e-09 1.45991e-09 1.15543e-09 5.6532e-10 1.50392e-09 1.93821e-09 1.94478e-09 1.74213e-09 1.48041e-09 1.22833e-09 1.00923e-09 3.03882e-10 8.43104e-10 1.18169e-09 1.3008e-09 1.2652e-09 1.14919e-09 1.00428e-09 8.58625e-10 1.80296e-10 5.12072e-10 7.54613e-10 8.84113e-10 9.15289e-10 8.79258e-10 8.05719e-10 7.16214e-10 1.14452e-10 3.29745e-10 5.01645e-10 6.13413e-10 6.65369e-10 6.68899e-10 6.38886e-10 5.88865e-10 7.62998e-11 2.21876e-10 3.44764e-10 4.34406e-10 4.87905e-10 5.08595e-10 5.03162e-10 4.79122e-10
N5 M 8 9 1.27597e-07 2.52337e-08 3.98663e-09 1.30304e-09 5.94294e-10 3.19456e-10 1.89537e-10 1.20318e-10 8.02103e-11 2.84504e-08 1.78849e-08 7.44016e-09 3.16765e-09 1.58099e-09 8.86315e-10 5.38317e-10 3.46645e-10 2.33247e-10 1.23244e-08 9.3893e-09 6.07056e-09 3.46895e-09 2.03755e-09 1.24226e-09 7.93288e-10 5.27355e-10 3.62434e-10 7.15811e-09 5.65009e-09 4.39057e-09 3.05627e-09 2.04445e-09 1.36746e-09 9.29425e-10 6.44851e-10 4.5667e-10 4.61494e-09 3.72398e-09 3.16732e-09 2.46928e-09 1.83142e-09 1.33004e-09 9.62199e-10 6.99471e-10 5.12911e-10 3.20063e-09 2.60479e-09 2.32952e-09 1.9491e-09 1.55628e-09 1.20809e-09 9.24321e-10 7.03181e-10 5.34661e-10 2.32999e-09 1.90066e-09 1.75218e-09 1.53474e-09 1.29128e-09 1.05575e-09 8.47014e-10 6.7163e-10 5.2895e-10 1.755e-09 1.43043e-09 1.34471e-09 1.21464e-09 1.06096e-09 9.02631e-10 7.52921e-10 6.19046e-10 5.03678e-10 M 9 8 8.70743e-08 2.84504e-08 1.23244e-08 7.15811e-09 4.61494e-09 3.20063e-09 2.32999e-09 1.755e-09 2.52337e-08 1.78849e-08 9.3893e-09 5.65009e-09 3.72398e-09 2.60479e-09 1.90066e-09 1.43043e-09 3.98663e-09 7.44016e-09 6.07056e-09 4.39057e-09 3.16732e-09 2.32952e-09 1.75218e-09 1.34471e-09 1.30304e-09 3.16765e-09 3.46895e-09 3.05627e-09 2.46928e-09 1.9491e-09 1.53474e-09 1.21464e-09 5.94294e-10 1.58099e-09 2.03755e-09 2.04445e-09 1.83142e-09 1.55628e-09 1.29128e-09 1.06096e-09 3.19456e-10 8.86315e-10 1.24226e-09 1.36746e-09 1.33004e-09 1.20809e-09 1.05575e-09 9.02631e-10 1.89537e-10 5.38317e-10 7.93288e-10 9.29425e-10 9.62199e-10 9.24321e-10 8.47014e-10 7.52921e-10 1.20318e-10 3.46645e-10 5.27355e-10 6.44851e-10 6.99471e-10 7.03181e-10 6.7163e-10 6.19046e-10 8.02103e-11 2.33247e-10 3.62434e-10 4.5667e-10 5.12911e-10 5.34661e-10 5.2895e-10 5.03678e-10
N6 M 8 9 1.40511e-07 3.04963e-08 4.96194e-09 1.6476e-09 7.49959e-10 4.03132e-10 2.39183e-10 1.51833e-10 1.0122e-10 3.29802e-08 2.22603e-08 9.2191e-09 3.96185e-09 1.99511e-09 1.11847e-09 6.79319e-10 4.37442e-10 2.94342e-10 1.43297e-08 1.18721e-08 7.59259e-09 4.44158e-09 2.57124e-09 1.56764e-09 1.00108e-09 6.65486e-10 4.57367e-10 8.12572e-09 7.13003e-09 5.5406e-09 3.85681e-09 2.57996e-09 1.72565e-09 1.17287e-09 8.13758e-10 5.76286e-10 5.21368e-09 4.69941e-09 3.99694e-09 3.11606e-09 2.31113e-09 1.67842e-09 1.21423e-09 8.82684e-10 6.47258e-10 3.59907e-09 3.28707e-09 2.93969e-09 2.45963e-09 1.96392e-09 1.52453e-09 1.16643e-09 8.87367e-10 6.74706e-10 2.60826e-09 2.3985e-09 2.21114e-09 1.93673e-09 1.62951e-09 1.33229e-09 1.06887e-09 8.47551e-10 6.67499e-10 1.95603e-09 1.80511e-09 1.69694e-09 1.5328e-09 1.33886e-09 1.13906e-09 9.50135e-10 7.81193e-10 6.35607e-10 M 9 8 1.01558e-07 3.29802e-08 1.43297e-08 8.12572e-09 5.21368e-09 3.59907e-09 2.60826e-09 1.95603e-09 3.04963e-08 2.22603e-08 1.18721e-08 7.13003e-09 4.69941e-09 3.28707e-09 2.3985e-09 1.80511e-09 4.96194e-09 9.2191e-09 7.59259e-09 5.5406e-09 3.99694e-09 2.93969e-09 2.21114e-09 1.69694e-09 1.6476e-09 3.96185e-09 4.44158e-09 3.85681e-09 3.11606e-09 2.45963e-09 1.93673e-09 1.5328e-09 7.49959e-10 1.99511e-09 2.57124e-09 2.57996e-09 2.31113e-09 1.96392e-09 1.62951e-09 1.33886e-09 4.03132e-10 1.11847e-09 1.56764e-09 1.72565e-09 1.67842e-09 1.52453e-09 1.33229e-09 1.13906e-09 2.39183e-10 6.79319e-10 1.00108e-09 1.17287e-09 1.21423e-09 1.16643e-09 1.06887e-09 9.50135e-10 1.51833e-10 4.37442e-10 6.65486e-10 8.13758e-10 8.82684e-10 8.87367e-10 8.47551e-10 7.81193e-10 1.0122e-10 2.94342e-10 4.57367e-10 5.76286e-10 6.47258e-10 6.74706e-10 6.67499e-10 6.35607e-10
N7 M 8 9 1.11207e-07 2.15413e-08 3.25061e-09 1.0418e-09 4.63716e-10 2.49266e-10 1.47892e-10 9.38818e-11 6.25866e-11 2.2482e-08 1.45829e-08 5.86739e-09 2.4578e-09 1.23362e-09 6.91575e-10 4.20038e-10 2.7048e-10 1.81998e-10 9.38605e-09 7.50687e-09 4.71019e-09 2.7327e-09 1.58986e-09 9.6931e-10 6.18988e-10 4.11485e-10 2.828e-10 5.33319e-09 4.40866e-09 3.42588e-09 2.38475e-09 1.59525e-09 1.06701e-09 7.25213e-10 5.03165e-10 3.56331e-10 3.43141e-09 2.90575e-09 2.4714e-09 1.92673e-09 1.42902e-09 1.03781e-09 7.50785e-10 5.45784e-10 4.00214e-10 2.37514e-09 2.03247e-09 1.81768e-09 1.52085e-09 1.21433e-09 9.42652e-10 7.2123e-10 5.48679e-10 4.17186e-10 1.72578e-09 1.48305e-09 1.3672e-09 1.19753e-09 1.00756e-09 8.23782e-10 6.60909e-10 5.2406e-10 4.1273e-10 1.29751e-09 1.11614e-09 1.04925e-09 9.47763e-10 8.27846e-10 7.04306e-10 5.8749e-10 4.8303e-10 3.9301e-10 M 9 8 7.58147e-08 2.2482e-08 9.38605e-09 5.33319e-09 3.43141e-09 2.37514e-09 1.72578e-09 1.29751e-09 2.15413e-08 1.45829e-08 7.50687e-09 4.40866e-09 2.90575e-09 2.03247e-09 1.48305e-09 1.11614e-09 3.25061e-09 5.86739e-09 4.71019e-09 3.42588e-09 2.4714e-09 1.81768e-09 1.3672e-09 1.04925e-09 1.0418e-09 2.4578e-09 2.7327e-09 2.38475e-09 1.92673e-09 1.52085e-09 1.19753e-09 9.47763e-10 4.63716e-10 1.23362e-09 1.58986e-09 1.59525e-09 1.42902e-09 1.21433e-09 1.00756e-09 8.27846e-10 2.49266e-10 6.91575e-10 9.6931e-10 1.06701e-09 1.03781e-09 9.42652e-10 8.23782e-10 7.04306e-10 1.47892e-10 4.20038e-10 6.18988e-10 7.25213e-10 7.50785e-10 7.2123e-10 6.60909e-10 5.8749e-10 9.38818e-11 2.7048e-10 4.11485e-10 5.03165e-10 5.45784e-10 5.48679e-10 5.2406e-10 4.8303e-10 6.25866e-11 1.81998e-10 2.828e-10 3.56331e-10 4.00214e-10 4.17186e-10 4.1273e-10 3.9301e-10
N8 M 8 9 1.12762e-07 2.22922e-08 3.42274e-09 1.11708e-09 5.10032e-10 2.74162e-10 1.62664e-10 1.03259e-10 6.88378e-11 2.33394e-08 1.53551e-08 6.22862e-09 2.67007e-09 1.35683e-09 7.60649e-10 4.61992e-10 2.97496e-10 2.00176e-10 9.95279e-09 8.04932e-09 5.11699e-09 2.94742e-09 1.74865e-09 1.06612e-09 6.80813e-10 4.52584e-10 3.11046e-10 5.65126e-09 4.849e-09 3.76806e-09 2.62294e-09 1.75458e-09 1.17358e-09 7.97647e-10 5.53422e-10 3.91921e-10 3.62985e-09 3.19598e-09 2.71824e-09 2.11918e-09 1.57175e-09 1.14146e-09 8.25774e-10 6.00297e-10 4.40188e-10 2.50832e-09 2.23547e-09 1.99923e-09 1.67275e-09 1.33562e-09 1.0368e-09 7.93267e-10 6.03481e-10 4.58855e-10 1.81961e-09 1.63117e-09 1.50375e-09 1.31713e-09 1.1082e-09 9.06062e-10 7.26921e-10 5.76403e-10 4.53953e-10 1.36593e-09 1.22762e-09 1.15405e-09 1.04243e-09 9.10531e-10 7.74652e-10 6.46169e-10 5.31275e-10 4.32264e-10 M 9 8 7.82924e-08 2.33394e-08 9.95279e-09 5.65126e-09 3.62985e-09 2.50832e-09 1.81961e-09 1.36593e-09 2.22922e-08 1.53551e-08 8.04932e-09 4.849e-09 3.19598e-09 2.23547e-09 1.63117e-09 1.22762e-09 3.42274e-09 6.22862e-09 5.11699e-09 3.76806e-09 2.71824e-09 1.99923e-09 1.50375e-09 1.15405e-09 1.11708e-09 2.67007e-09 2.94742e-09 2.62294e-09 2.11918e-09 1.67275e-09 1.31713e-09 1.04243e-09 5.10032e-10 1.35683e-09 1.74865e-09 1.75458e-09 1.57175e-09 1.33562e-09 1.1082e-09 9.10531e-10 2.74162e-10 7.60649e-10 1.06612e-09 1.17358e-09 1.14146e-09 1.0368e-09 9.06062e-10 7.74652e-10 1.62664e-10 4.61992e-10 6.80813e-10 7.97647e-10 8.25774e-10 7.93267e-10 7.26921e-10 6.46169e-10 1.03259e-10 2.97496e-10 4.52584e-10 5.53422e-10 6.00297e-10 6.03481e-10 5.76403e-10 5.31275e-10 6.88378e-11 2.00176e-10 3.11046e-10 3.91921e-10 4.40188e-10 4.58855e-10 4.53953e-10 4.32264e-10
N9 M 8 9 1.15612e-07 2.21349e-08 3.4076e-09 1.11699e-09 5.08754e-10 2.73475e-10 1.62256e-10 1.03e-10 6.86652e-11 2.45744e-08 1.52872e-08 6.19335e-09 2.68798e-09 1.35343e-09 7.58742e-10 4.60834e-10 2.9675e-10 1.99674e-10 1.06118e-08 8.04865e-09 5.15132e-09 2.98621e-09 1.74427e-09 1.06345e-09 6.79106e-10 4.51449e-10 3.10267e-10 6.05957e-09 4.83684e-09 3.75861e-09 2.61636e-09 1.75018e-09 1.17064e-09 7.95648e-10 5.52034e-10 3.90939e-10 3.90481e-09 3.18797e-09 2.71143e-09 2.11386e-09 1.56781e-09 1.1386e-09 8.23704e-10 5.98792e-10 4.39084e-10 2.70686e-09 2.22987e-09 1.99422e-09 1.66856e-09 1.33227e-09 1.0342e-09 7.91278e-10 6.01968e-10 4.57704e-10 1.96965e-09 1.62708e-09 1.49998e-09 1.31383e-09 1.10542e-09 9.03791e-10 7.25098e-10 5.74958e-10 4.52815e-10 1.48294e-09 1.22454e-09 1.15116e-09 1.03981e-09 9.08249e-10 7.7271e-10 6.44549e-10 5.29943e-10 4.3118e-10 M 9 8 7.77009e-08 2.45744e-08 1.06118e-08 6.05957e-09 3.90481e-09 2.70686e-09 1.96965e-09 1.48294e-09 2.21349e-08 1.52872e-08 8.04865e-09 4.83684e-09 3.18797e-09 2.22987e-09 1.62708e-09 1.22454e-09 3.4076e-09 6.19335e-09 5.15132e-09 3.75861e-09 2.71143e-09 1.99422e-09 1.49998e-09 1.15116e-09 1.11699e-09 2.68798e-09 2.98621e-09 2.61636e-09 2.11386e-09 1.66856e-09 1.31383e-09 1.03981e-09 5.08754e-10 1.35343e-09 1.74427e-09 1.75018e-09 1.56781e-09 1.33227e-09 1.10542e-09 9.08249e-10 2.73475e-10 7.58742e-10 1.06345e-09 1.17064e-09 1.1386e-09 1.0342e-09 9.03791e-10 7.7271e-10 1.62256e-10 4.60834e-10 6.79106e-10 7.95648e-10 8.23704e-10 7.91278e-10 7.25098e-10 6.44549e-10 1.03e-10 2.9675e-10 4.51449e-10 5.52034e-10 5.98792e-10 6.01968e-10 5.74958e-10 5.29943e-10 6.86652e-11 1.99674e-10 3.10267e-10 3.90939e-10 4.39084e-10 4.57704e-10 4.52815e-10 4.3118e-10
N10 M 8 9 1.28022e-07 2.5159e-08 3.99475e-09 1.31982e-09 6.0102e-10 3.23072e-10 1.91682e-10 1.2168e-10 8.11181e-11 2.85849e-08 1.79213e-08 7.43037e-09 3.19101e-09 1.59889e-09 8.96345e-10 5.44409e-10 3.50568e-10 2.35887e-10 1.27555e-08 9.51019e-09 6.11534e-09 3.53255e-09 2.0606e-09 1.25632e-09 8.02266e-10 5.33323e-10 3.66536e-10 7.31542e-09 5.71404e-09 4.44026e-09 3.09086e-09 2.06759e-09 1.38294e-09 9.39944e-10 6.52149e-10 4.61838e-10 4.71848e-09 3.76613e-09 3.20316e-09 2.49723e-09 1.85214e-09 1.34509e-09 9.73088e-10 7.07387e-10 5.18715e-10 3.27384e-09 2.63427e-09 2.35588e-09 1.97116e-09 1.57389e-09 1.22176e-09 9.34782e-10 7.11139e-10 5.40712e-10 2.38428e-09 1.92217e-09 1.77201e-09 1.5521e-09 1.30589e-09 1.0677e-09 8.566e-10 6.79231e-10 5.34936e-10 1.79662e-09 1.44662e-09 1.35993e-09 1.22839e-09 1.07297e-09 9.12846e-10 7.61442e-10 6.26052e-10 5.09378e-10 M 9 8 8.6727e-08 2.85849e-08 1.27555e-08 7.31542e-09 4.71848e-09 3.27384e-09 2.38428e-09 1.79662e-09 2.5159e-08 1.79213e-08 9.51019e-09 5.71404e-09 3.76613e-09 2.63427e-09 1.92217e-09 1.44662e-09 3.99475e-09 7.43037e-09 6.11534e-09 4.44026e-09 3.20316e-09 2.35588e-09 1.77201e-09 1.35993e-09 1.31982e-09 3.19101e-09 3.53255e-09 3.09086e-09 2.49723e-09 1.97116e-09 1.5521e-09 1.22839e-09 6.0102e-10 1.59889e-09 2.0606e-09 2.06759e-09 1.85214e-09 1.57389e-09 1.30589e-09 1.07297e-09 3.23072e-10 8.96345e-10 1.25632e-09 1.38294e-09 1.34509e-09 1.22176e-09 1.0677e-09 9.12846e-10 1.91682e-10 5.44409e-10 8.02266e-10 9.39944e-10 9.73088e-10 9.34782e-10 8.566e-10 7.61442e-10 1.2168e-10 3.50568e-10 5.33323e-10 6.52149e-10 7.07387e-10 7.11139e-10 6.79231e-10 6.26052e-10 8.11181e-11 2.35887e-10 3.66536e-10 4.61838e-10 5.18715e-10 5.40712e-10 5.34936e-10 5.09378e-10
